"zip","median_hh_income"
15642,70473
80132,126619
92886,119528
76120,46404
35052,0
28682,78179
80863,77348
11222,78287
20001,100447
44401,51447
11714,105011
38119,58257
32819,62918
62234,54091
44130,53059
75082,120237
14040,54119
55455,0
53024,75592
96786,59284
7310,147357
90036,74279
95355,61570
75229,88062
79906,49119
7928,173929
62084,45341
51575,74792
11691,42434
10965,100962
44423,63281
18470,71364
15432,32708
91201,56580
50233,67895
43619,60954
95230,82995
48159,69286
18240,49525
46228,64680
80205,62865
29377,29632
33848,0
18974,74234
85147,11813
28124,58460
6804,113131
94587,95625
60659,50554
10560,138875
28027,67274
66112,46268
48135,54667
85224,66649
90254,124849
78209,71538
48815,58295
92121,103953
15692,55673
91759,51719
85281,32300
10023,123951
18456,41250
60804,44110
21104,134291
20245,0
80137,92986
91105,112765
20736,137731
49070,53571
80260,45324
45223,34808
80915,57193
37027,128020
85749,84521
95070,173739
32779,86880
14168,0
21120,104864
44144,44274
12136,102829
94121,87001
44445,48615
44640,45893
75013,124915
48144,68026
93004,80726
46163,85397
55118,64306
27217,38486
7102,24353
32909,50071
43105,64205
46186,70707
10305,76044
1833,113417
2879,79537
8554,81273
74115,32857
80829,66829
98332,97618
48173,72702
2881,80208
78758,50018
27520,62343
91792,70932
43045,72439
67210,39818
34212,92940
15085,62407
45243,113668
33955,58914
94030,109813
33559,57783
60656,60575
67206,71059
21217,28116
98418,45262
1028,85221
44128,32814
44677,51089
15063,56927
67217,46580
23321,69915
75041,42556
17101,25769
35180,53647
2148,62283
60173,79024
27101,29795
94938,85250
18073,78156
44412,55417
35221,32627
17025,64324
7201,44655
44405,29697
98178,72478
77433,103773
6456,0
45303,58902
12022,50833
84043,84786
11933,57933
32801,52746
55450,0
21074,80571
8063,62545
55414,35394
2859,76146
80504,88036
29438,55453
33827,58438
80127,104827
27048,50230
72046,41276
98660,48032
14174,66731
60165,41512
2894,81417
46126,66747
44140,95524
75252,61399
1254,92083
6377,76774
51542,101438
80123,76113
77573,103922
92325,57118
21723,92333
92880,100175
53911,79118
16161,30795
7501,26691
94129,190167
33705,43505
15209,55248
95829,82601
12144,65591
74107,40043
12508,73396
60029,167813
96795,78603
2474,104583
72205,46367
14615,38135
95110,76250
97132,63420
10707,83445
94063,64720
46406,30554
11556,0
37924,44110
12138,58036
98058,85717
80215,64195
20904,81277
29376,61327
79934,68084
44133,69094
29613,0
6001,122486
6483,75550
60803,51439
1880,93337
7702,122321
7649,137583
11436,69259
62260,72288
97009,68580
80290,0
2461,159517
18030,55000
60193,78995
12094,81850
48026,53328
11223,46310
95616,50000
22026,88509
12185,78472
21154,82456
85048,101546
10039,34197
63102,50956
43240,74663
90042,55596
12572,79628
44406,71464
30907,63815
33767,69541
92341,0
44202,86414
45053,93295
8046,70929
11004,93315
1020,58780
78501,34853
20877,66988
29669,44659
32825,54137
44264,87639
29832,34514
77407,96947
15208,35747
41011,42323
74126,29145
20164,92279
21029,182045
14467,68974
73008,48846
17371,76563
20854,203952
21225,41904
94945,93765
23551,0
34208,44846
73165,78399
13078,87596
47162,36154
19547,75703
6269,0
37886,48162
6468,109631
74035,38214
48133,54856
2114,89452
77536,82420
94404,134056
77201,0
64060,81204
7663,94177
11378,68460
1253,74554
